symbol,timestamp,prediction,actual_price,prediction_error,overall_accuracy,avg_error,confidence_score,market_trend
AMD,2025-07-26T15:20:14.826632,162.22188705256292,166.47000122070312,2.5518797002398808,100.0,0.9163626729562436,82.44812029976012,bearish
IBM,2025-07-26T15:22:34.586412,270.20879996025315,259.7200012207031,4.038502498941897,100.0,0.9163626729562436,80.9614975010581,bullish
MCD,2025-07-26T15:24:53.354526,297.6123370073246,298.4700012207031,0.2873535731801545,100.0,0.9163626729562436,84.71264642681984,bullish
ACN,2025-07-26T15:25:38.445572,271.6135063327137,283.1499938964844,4.074337917163523,100.0,0.9163626729562436,80.92566208283648,bearish
SFD,2025-07-26T15:26:25.148656,24.81628536974462,23.88999938964844,3.877295955468056,100.0,0.9163626729562436,81.12270404453194,bullish
AAPL,2025-07-27T22:07:35.875607,207.6610515086585,213.8800048828125,2.9076833888990348,100.0,0.9163626729562436,82.09231661110097,bearish
AMD,2025-07-28T17:37:35.013403,175.32409817107265,173.66000366210938,0.9582485741513088,0.0,0.0,84.04175142584869,bullish
ACN,2025-07-28T17:38:01.064753,278.50362975324884,277.0400085449219,0.5283068016111632,0.0,0.0,84.47169319838883,bullish
INTC,2025-07-28T17:39:17.273233,20.45209310978024,20.68000030517578,1.1020657254947168,0.0,0.0,83.89793427450529,bullish
AAPL,2025-07-29T09:39:56.171326,214.0686177021913,212.634994506836,0.6742179003415599,0.0,0.0,84.32578209965844,bullish
NVDA,2025-07-29T09:41:03.479094,176.47481585331613,178.50999450683594,1.1400922727841276,0.0,0.0,83.85990772721587,bullish
AMD,2025-07-29T10:06:57.761897,175.31690174327522,179.2100067138672,2.17237030564249,0.0,0.0,82.82762969435751,bearish
MSFT,2025-07-29T10:17:33.298342,517.7702189128959,513.1527709960938,0.8998193477235008,0.0,0.0,84.10018065227649,bullish
GOOGL,2025-07-29T10:19:19.623182,192.2291203452473,193.3000030517578,0.5540003567531058,0.0,0.0,84.44599964324689,bullish
META,2025-07-29T11:44:53.672675,716.6896694908678,709.8250122070312,0.9670914895619892,0.0,0.0,84.032908510438,bullish
